Количество всех элементов;Количество уникальных элементов;Минимальное количество информации;
2448;33;533,796360590344;
Значение;Количество;Частота;
н;194;0,0792483660130719;
а;167;0,068218954248366;
д;64;0,0261437908496732;
о;248;0,101307189542484;
м;72;0,0294117647058824;
п;64;0,0261437908496732;
р;126;0,0514705882352941;
и;187;0,0763888888888889;
е;220;0,0898692810457516;
с;147;0,0600490196078431;
л;77;0,0314542483660131;
ь;45;0,0183823529411765;
з;54;0,0220588235294118;
у;49;0,020016339869281;
т;153;0,0625;
я;46;0,0187908496732026;
ю;22;0,00898692810457516;
щ;18;0,00735294117647059;
й;30;0,0122549019607843;
в;121;0,0494281045751634;
б;31;0,0126633986928105;
г;28;0,011437908496732;
ё;4;0,00163398692810458;
ж;18;0,00735294117647059;
к;69;0,0281862745098039;
ф;9;0,00367647058823529;
х;25;0,0102124183006536;
ц;23;0,00939542483660131;
ч;33;0,0134803921568627;
ш;18;0,00735294117647059;
ъ;3;0,00122549019607843;
ы;73;0,0298202614379085;
э;10;0,00408496732026144;
